No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,SWIRE3 J033244.87-274727.8,03h32m44.8590s,-27d47m27.650s,53.1869125,-27.79101388889,0.21374001,64077.6429708446,SLS,G,"IR,Radio,Vis,Xray",65,2,118,30,38,0,0,0,5,0
2,EIS J033234.55-274848.5,03h32m34.5216s,-27d48m48.672s,53.14384,-27.81352,0.236,70751.020088,PUN,G,"IR,UV,Vis",23,0,66,8,12,0,0,0,5,0
3,EIS J033235.77-274759.0,03h32m35.7564s,-27d47m59.128s,53.148985,-27.799758,0.66548155,199506.34962815,SLS,G,"IR,Vis",58,0,117,22,33,0,0,0,5,0
4,EIS J033244.21-274733.7,03h32m44.1979s,-27d47m33.475s,53.184158,-27.792632,0.73720358,221008.0732946,SLS,G,"IR,UV,Vis,Xray",69,1,134,26,44,0,0,0,5,0
5,S-CANDELS J033229.22-274707.8,03h32m29.2176s,-27d47m07.764s,53.12174,-27.78549,0.668,200261.361944,UUN,G,"IR,Vis,Xray",43,0,118,5,17,0,0,0,5,0
6,COMBO-17 33320,03h32m29.9400s,-27d47m57.150s,53.12475,-27.79920833333,0.6672,200021.5279776,UUN,G,"IR,Vis",25,0,58,6,15,0,0,0,5,0
7,COMBO-17 34276,03h32m30.0200s,-27d47m26.800s,53.12508333333,-27.79077777778,1.54999995,464678.294910377,UUN,G,"IR,Vis",30,0,75,2,14,0,0,0,5,0
8,EIS J033233.55-274623.5,03h32m33.5400s,-27d46m23.390s,53.13975,-27.77316388889,0.272,81543.548576,PUN,G,"IR,UV,Vis",21,0,55,4,12,0,0,0,5,0
9,EIS J033234.12-274712.2,03h32m34.1092s,-27d47m12.116s,53.142122,-27.786699,0.22711678,68087.8977292452,SLS,G,"IR,UV,Vis",47,0,119,20,28,0,0,0,5,0
10,ACS-GC 90045747,03h32m37.3144s,-27d47m28.770s,53.155477,-27.791325,0.66876234,200489.905726432,SLS,G,"IR,Vis,Xray",55,0,111,25,36,0,0,0,5,0
11,COMBO-17 35771,03h32m38.7900s,-27d46m48.920s,53.161625,-27.78025555556,0.6194,185691.4484852,UUN,G,"IR,Vis",27,0,74,3,13,0,0,0,5,0
12,EIS J033239.10-274602.0,03h32m39.0768s,-27d46m01.632s,53.16282,-27.76712,1.153,345660.704074,PUN,G,"IR,UV,Vis,Xray",83,0,171,18,31,4,0,0,5,0
13,EIS J033239.24-274758.6,03h32m39.2200s,-27d47m58.370s,53.16341666667,-27.79954722222,0.66,197863.02228,PUN,G,"IR,Vis",27,0,72,3,15,0,0,0,5,0
14,EIS J033239.90-274715.2,03h32m39.8827s,-27d47m15.057s,53.166178,-27.787516,1.09528887,328359.342557342,SLS,QSO,"IR,Radio,Vis,Xray",57,0,119,22,33,0,0,0,5,0
15,COMBO-17 34208,03h32m40.6700s,-27d47m30.990s,53.16945833333,-27.79194166667,0.643,192766.550494,PUN,G,"IR,Vis",23,0,65,5,13,0,0,0,5,0
16,EIS J033242.81-274606.1,03h32m42.8239s,-27d46m05.552s,53.17843291667,-27.76820888889,0.66873431,200481.502543834,SLS,G,"IR,UV,Vis",34,0,70,13,20,0,0,0,5,0
17,EIS J033244.05-274824.6,03h32m44.0316s,-27d48m24.314s,53.183465,-27.806754,0.0,0.0,SLS,*,"IR,Vis",20,0,57,3,4,0,0,0,5,0
18,EIS J033235.99-274850.6,03h32m35.9743s,-27d48m50.400s,53.149893,-27.814,1.3087,392338.3897846,SLS,G,"IR,UV,Vis,Xray",54,0,123,13,26,0,0,0,5,0
19,S-CANDELS J033239.73-274611.5,03h32m39.7200s,-27d46m11.078s,53.1655,-27.769744,1.552,465277.894816,UUN,G,"IR,Radio,Vis,Xray",61,0,134,17,24,0,0,0,5,0
20,LQAC 053-027 055,03h32m42.8400s,-27d47m02.800s,53.1785,-27.78411111111,3.19045757,956475.117055007,SLS,QSO,"IR,Vis,Xray",67,0,162,19,31,0,0,0,5,0
21,CANDELS J033243.04-274845.0,03h32m43.0344s,-27d48m44.740s,53.17931,-27.812428,1.73000002,518640.958335849,UUN,G,"IR,Vis,Xray",62,0,101,24,36,0,0,0,5,0
22,EIS J033244.45-274819.3,03h32m44.4264s,-27d48m18.813s,53.18511,-27.805226,0.4164,124833.5795112,SLS,G,"IR,UV,Vis,Xray",59,0,115,19,31,0,0,0,5,0
23,ACS-GC 90045909,03h32m45.1010s,-27d47m24.060s,53.18792083333,-27.79001666667,0.43552212,130566.246868171,SLS,G,"IR,Vis,Xray",80,1,145,25,36,0,0,0,5,0
24,S-CANDELS J033232.16-274651.7,03h32m32.1700s,-27d46m51.800s,53.13404166667,-27.78105555556,2.591593,776940.035605594,SLS,G,"IR,Vis,Xray",48,0,113,17,17,0,0,0,0,0
